,Pizza,Dinero Ganado
0,bbq_ckn_s,5265.75
1,bbq_ckn_m,14438.5
2,bbq_ckn_l,18280.75
3,cali_ckn_s,5610.0
4,cali_ckn_m,13584.25
5,cali_ckn_l,16724.5
6,ckn_alfredo_s,1071.0
7,ckn_alfredo_m,10435.25
8,ckn_alfredo_l,3506.75
9,ckn_pesto_s,3480.75
10,ckn_pesto_m,4154.0
11,ckn_pesto_l,7490.75
12,southw_ckn_s,4258.5
13,southw_ckn_m,7872.5
14,southw_ckn_l,18633.5
15,thai_ckn_s,5278.5
16,thai_ckn_m,7035.0
17,thai_ckn_l,25667.75
18,big_meat_s,20112.0
19,big_meat_m,0.0
20,big_meat_l,0.0
21,classic_dlx_s,8556.0
22,classic_dlx_m,16320.0
23,classic_dlx_l,8589.5
24,hawaiian_s,9649.5
25,hawaiian_m,5631.25
26,hawaiian_l,13150.5
27,ital_cpcllo_s,3108.0
28,ital_cpcllo_m,5664.0
29,ital_cpcllo_l,13099.5
30,napolitana_s,4968.0
31,napolitana_m,6016.0
32,napolitana_l,10004.0
33,pep_msh_pep_s,5731.0
34,pep_msh_pep_m,5205.5
35,pep_msh_pep_l,6090.0
36,pepperoni_s,6435.0
37,pepperoni_m,10487.5
38,pepperoni_l,9607.5
39,the_greek_s,3144.0
40,the_greek_m,4064.0
41,the_greek_l,4612.5
42,the_greek_xl,12112.5
43,the_greek_xxl,862.8000000000001
44,brie_carre_s,10027.599999999999
45,calabrese_s,1090.25
46,calabrese_m,8336.25
47,calabrese_l,4961.25
48,ital_supr_s,2100.0
49,ital_supr_m,13530.0
50,ital_supr_l,13736.5
51,peppr_salami_s,3537.5
52,peppr_salami_m,6270.0
53,peppr_salami_l,13010.25
54,prsc_argla_s,4637.5
55,prsc_argla_m,8827.5
56,prsc_argla_l,7968.0
57,sicilian_s,8146.25
58,sicilian_m,8238.75
59,sicilian_l,11137.5
60,soppressata_s,3275.0
61,soppressata_m,3795.0
62,soppressata_l,7387.0
63,spicy_ital_s,4375.0
64,spicy_ital_m,5940.0
65,spicy_ital_l,20418.0
66,spinach_supr_s,4412.5
67,spinach_supr_m,3828.0
68,spinach_supr_l,5270.5
69,five_cheese_s,0.0
70,five_cheese_m,0.0
71,five_cheese_l,23199.0
72,four_cheese_s,0.0
73,four_cheese_m,7832.25
74,four_cheese_l,20750.2
75,green_garden_s,6360.0
76,green_garden_m,4336.0
77,green_garden_l,1680.75
78,ital_veggie_s,3480.75
79,ital_veggie_m,7085.25
80,ital_veggie_l,3444.0
81,mediterraneo_s,3120.0
82,mediterraneo_m,4032.0
83,mediterraneo_l,6520.5
84,mexicana_s,1704.0
85,mexicana_m,6288.0
86,mexicana_l,15531.75
87,spin_pesto_s,4437.5
88,spin_pesto_m,4092.0
89,spin_pesto_l,5208.25
90,spinach_fet_s,4572.0
91,spinach_fet_m,7616.0
92,spinach_fet_l,8019.0
93,veggie_veg_s,4956.0
94,veggie_veg_m,9120.0
95,veggie_veg_l,7573.5
