,Pizza,Cantidad pedida
0,bbq_ckn,2156
1,cali_ckn,2057
2,ckn_alfredo,876
3,ckn_pesto,882
4,southw_ckn,1702
5,thai_ckn,2071
6,big_meat,1676
7,classic_dlx,2152
8,hawaiian,2141
9,ital_cpcllo,1252
10,napolitana,1278
11,pep_msh_pep,1228
12,pepperoni,2129
13,the_greek,1240
14,brie_carre,424
15,calabrese,847
16,ital_supr,1650
17,peppr_salami,1290
18,prsc_argla,1290
19,sicilian,1722
20,soppressata,848
21,spicy_ital,1694
22,spinach_supr,839
23,five_cheese,1254
24,four_cheese,1687
25,green_garden,884
26,ital_veggie,860
27,mediterraneo,834
28,mexicana,1302
29,spin_pesto,854
30,spinach_fet,1253
31,veggie_veg,1357
